ADI,Data de julgamento,Unanimidade,Informacoes,Vencedores,Vencidos,Tipo,Pleito Analisado,NUNES MARQUES,ANDRÉ MENDONÇA,ALEXANDRE DE MORAES,DIAS TOFFOLI,ROBERTO BARROSO,EDSON FACHIN,GILMAR MENDES,CÁRMEN LÚCIA,LUIZ FUX,RICARDO LEWANDOWSKI,ROSA WEBER,MARCO AURÉLIO,CELSO DE MELLO,TEORI ZAVASCKI,JOAQUIM BARBOSA,AYRES BRITTO,CEZAR PELUSO,ELLEN GRACIE,EROS GRAU,MENEZES DIREITO,SEPÚLVEDA PERTENCE,NELSON JOBIM,CARLOS VELLOSO,MAURÍCIO CORRÊA,NÉRI DA SILVEIRA
ADI 3005,2020-07-01,Não,0,9,1,Principal," O TRIBUNAL, POR MAIORIA, JULGOU PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA PARA DECLARAR A INCONSTITUCIONALIDADE DO ART. 26 DA LEI 8.177/1991, NOS TERMOS DOS VOTOS PROFERIDOS, VENCIDO O MINISTRO ROBERTO BARROSO. AUSENTE, JUSTIFICADAMENTE, O MINISTRO CELSO DE MELLO. PRESIDÊNCIA DO MINISTRO DIAS TOFFOLI. PLENÁRIO, 1º.07.2020 (SESSÃO REALIZADA INTEIRAMENTE POR VIDEOCONFERÊNCIA - RESOLUÇÃO 672/2020/STF).",0,0,1,1,-1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 6513,2020-12-21,Sim,0,11,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA PARA DECLARAR A INCONSTITUCIONALIDADE, COM EFEITOS EX TUNC, DAS EXPRESSÕES “MEMBROS DO CONSELHO DA JUSTIÇA MILITAR”, “INCLUSIVE OS INATIVOS” E “MEMBROS DA DEFENSORIA PÚBLICA”, CONTIDAS NO ART. 123, I, A, DA CONSTITUIÇÃO DO ESTADO DA BAHIA, NOS TERMOS DO VOTO DO RELATOR. O MINISTRO ALEXANDRE DE MORAES ACOMPANHOU O RELATOR COM RESSALVAS, APENAS NO TOCANTE À MODULAÇÃO DOS EFEITOS DA DECISÃO. FALOU, PELO AMICUS CURIAE ASSOCIAÇÃO NACIONAL DAS DEFENSORAS E DEFENSORES PÚBLICOS - ANADEP, O DR. ILTON NORBERTO ROBL FILHO. PLENÁRIO, SESSÃO VIRTUAL DE 11.12.2020 A 18.12.2020.",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 6233,2020-02-14,Sim,0,10,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU PARCIALMENTE PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA PARA DECLARAR A INCONSTITUCIONALIDADE FORMAL DOS SEGUINTES ARTIGOS: (A) DAS EXPRESSÕES “ARRECADAÇÃO” E “LANÇAMENTO” CONTIDAS NO CAPUT E § 4º DO ART. 1º; (B) ART. 9º; (C) ART. 12 E PARÁGRAFOS; (D) ART. 13 E PARÁGRAFOS; (E) ART. 14; (F) ART. 15 E PARÁGRAFOS; (G) ART. 18, INCISO I, ALÍNEAS “A” A “D”; (H) ART. 19 E PARÁGRAFOS; (I) ART. 20; (J) DAS EXPRESSÕES “RECEITAS NÃO-TRIBUTÁRIAS”, “ACRÉSCIMOS” E “NOTA DE LANÇAMENTO” CONTIDAS NO CAPUT DO ART. 23, E DA EXPRESSÃO “NOTA DE LANÇAMENTO” CONTIDA NOS SEUS §§ 2º E 3º; (K) DA EXPRESSÃO “NOTA DE LANÇAMENTO” CONTIDA NO § 3º DO ART. 24; (L) ART. 25 E SEUS PARÁGRAFOS; (M) ART. 26; (N) ART. 30 E PARÁGRAFO ÚNICO; E (O) ART. 32; TODOS DA LEI 5.139/2007 DO ESTADO DO RIO DE JANEIRO, NOS TERMOS DO VOTO DO RELATOR. NÃO PARTICIPOU DESTE JULGAMENTO, POR MOTIVO DE LICENÇA MÉDICA, O MINISTRO CELSO DE MELLO. PLENÁRIO, SESSÃO VIRTUAL DE 7.2.2020 A 13.2.2020.",0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 6515,2021-08-23,Sim,0,10,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA PARA DECLARAR, COM EFEITOS EX NUNC, A INCONSTITUCIONALIDADE DA EXPRESSÃO “PROCURADORIA GERAL DO ESTADO E DA DEFENSORIA PÚBLICA”, CONSTANTE DO ART. 72, I, A, DA CONSTITUIÇÃO DO ESTADO DO AMAZONAS, E FIXOU A SEGUINTE TESE DE JULGAMENTO: “É INCONSTITUCIONAL NORMA DE CONSTITUIÇÃO ESTADUAL QUE ESTENDE O FORO POR PRERROGATIVA DE FUNÇÃO A AUTORIDADES NÃO CONTEMPLADAS PELA CONSTITUIÇÃO FEDERAL DE FORMA EXPRESSA OU POR SIMETRIA”, NOS TERMOS DO VOTO DO RELATOR. O MINISTRO EDSON FACHIN ACOMPANHOU O RELATOR COM RESSALVAS. FALOU, PELO AMICUS CURIAE ASSOCIAÇÃO NACIONAL DAS DEFENSORAS E DEFENSORES PÚBLICOS - ANADEP, O DR. ILTON NORBERTO ROBL FILHO. PLENÁRIO, SESSÃO VIRTUAL DE 13.8.2021 A 20.8.2021.",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 6308,2022-06-06,Sim,0,11,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, CONHECEU PARCIALMENTE DA AÇÃO DIRETA E, NESSA PARTE, JULGOU PROCEDENTES OS PEDIDOS PARA DECLARAR A INCONSTITUCIONALIDADE DO ART. 113, §§ 3º, 3º-A, 4º, 6º, 7º, 8º E 9º, DA CONSTITUIÇÃO DO ESTADO DE RORAIMA, ACRESCIDOS PELAS EMENDAS CONSTITUCIONAIS Nº 41/2014 E Nº 61/2019, E, POR ARRASTAMENTO, DO ART. 24, §§ 1º, 2º, 4º, 5º E 6º, DA LEI Nº 1.327/2019 (LEI DE DIRETRIZES ORÇAMENTÁRIAS) E DO ART. 8º DA LEI Nº 1.371/2020 (LEI ORÇAMENTÁRIA ANUAL PARA O EXERCÍCIO DE 2020), AMBAS DO ESTADO DE RORAIMA, MANTIDOS OS EFEITOS DA CAUTELAR NO PERÍODO EM QUE VIGEU, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 27.5.2022 A 3.6.2022.",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 5534,2020-12-21,Não,0,10,1,Principal,"O TRIBUNAL, POR MAIORIA, JULGOU PARCIALMENTE PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA, PARA DECLARAR A CONSTITUCIONALIDADE DO ART. 535, § 3º, INCISO II, DO CÓDIGO DE PROCESSO CIVIL DE 2015, E CONFERIR INTERPRETAÇÃO CONFORME À CONSTITUIÇÃO AO ART. 535, § 4º, DO CPC, NO SENTIDO DE QUE, PARA EFEITO DE DETERMINAÇÃO DO REGIME DE PAGAMENTO DO VALOR INCONTROVERSO, DEVE SER OBSERVADO O VALOR TOTAL DA CONDENAÇÃO, CONFORME TESE FIRMADA NO RE COM REPERCUSSÃO GERAL Nº 1205530 (TEMA 28), NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO MARCO AURÉLIO, QUE JULGAVA IMPROCEDENTE O PEDIDO. O MINISTRO GILMAR MENDES ACOMPANHOU O RELATOR COM RESSALVAS. FALOU, PELO REQUERENTE, A DRA. VIVIANE RUFFEIL TEIXEIRA PEREIRA, PROCURADORA DO ESTADO DO PARÁ. PLENÁRIO, SESSÃO VIRTUAL DE 11.12.2020 A 18.12.2020.",1,0,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 6766,2021-08-23,Sim,0,10,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA PARA DECLARAR A INCONSTITUCIONALIDADE DO ART. 164, INCISO IV, ALÍNEAS E E F, DO REGIMENTO INTERNO DO TRIBUNAL DE JUSTIÇA DE RONDÔNIA, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 13.8.2021 A 20.8.2021.",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 5483,2020-02-14,Não,0,7,3,Principal,"O TRIBUNAL, POR MAIORIA, CONHECEU DA AÇÃO DIRETA E JULGOU PROCEDENTE O PEDIDO FORMULADO PARA A DECLARAR A INCONSTITUCIONALIDADE FORMAL DA EMENDA CONSTITUCIONAL ESTADUAL 68/2015 E, POR ARRASTAMENTO, DA EC ESTADUAL 80/2019, NOS TERMOS DO VOTO DO RELATOR, VENCIDOS OS MINISTROS GILMAR MENDES E ROSA WEBER, QUE DIVERGIAM PARA DECLARAR A PERDA SUPERVENIENTE DE OBJETO DA AÇÃO, E O MINISTRO DIAS TOFFOLI (PRESIDENTE), QUE CONHECIA DA AÇÃO E, NA SEQUÊNCIA, CONCLUÍA PELA SUA IMPROCEDÊNCIA. NÃO PARTICIPOU DESTE JULGAMENTO, POR MOTIVO DE LICENÇA MÉDICA, O MINISTRO CELSO DE MELLO. PLENÁRIO, SESSÃO VIRTUAL DE 7.2.2020 A 13.2.2020.",0,0,1,-1,1,1,-1,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 6321,2020-12-21,Não,0,9,2,Principal,"O TRIBUNAL, POR MAIORIA, JULGOU PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA PARA: A) DECLARAR A INCONSTITUCIONALIDADE DO INC. IV DO ART. 48 DA CONSTITUIÇÃO DO PARÁ E DA LEI N. 5.652/1991 DO PARÁ E B) CONFERIR EFICÁCIA EX NUNC À DECISÃO PARA PRODUZIR EFEITOS A PARTIR DA DATA DO JULGAMENTO RELATIVAMENTE AOS QUE JÁ ESTEJAM RECEBENDO POR DECISÃO ADMINISTRATIVA OU JUDICIAL, NOS TERMOS DO VOTO DA RELATORA, VENCIDOS PARCIALMENTE OS MINISTROS EDSON FACHIN E MARCO AURÉLIO. PLENÁRIO, SESSÃO VIRTUAL DE 11.12.2020 A 18.12.2020.",1,0,1,1,1,-1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 6507,2022-05-16,Sim,0,11,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA, PARA DECLARAR, COM EFICÁCIA EX NUNC, A INCONSTITUCIONALIDADE DAS EXPRESSÕES “O DEFENSOR PÚBLICO-GERAL DO ESTADO” E “OS PROCURADORES DO ESTADO, OS MEMBROS DA DEFENSORIA PÚBLICA” CONTIDAS NO ART. 114, II, “A”, DA CONSTITUIÇÃO DO ESTADO DE MATO GROSSO DO SUL, NA REDAÇÃO DADA PELA EMENDA DE N. 29, DE 5 DE JULHO DE 2005, NOS TERMOS DO VOTO DO RELATOR. FALARAM: PELO AMICUS CURIAE ASSOCIAÇÃO NACIONAL DOS PROCURADORES DOS ESTADOS E DO DISTRITO FEDERAL - ANAPE, O DR. MIGUEL NOVAES; E, PELO AMICUS CURIAE ASSOCIAÇÃO NACIONAL DAS DEFENSORAS E DEFENSORES PÚBLICOS - ANADEP, O DR. ILTON NORBERTO ROBL FILHO. PLENÁRIO, SESSÃO VIRTUAL DE 6.5.2022 A 13.5.2022.",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
