HC,Data de julgamento,Unanimidade,Informacoes,Vencedores,Vencidos,Tipo,Pleito Analisado,NUNES MARQUES,ANDRÉ MENDONÇA,ALEXANDRE DE MORAES,DIAS TOFFOLI,ROBERTO BARROSO,EDSON FACHIN,GILMAR MENDES,CÁRMEN LÚCIA,LUIZ FUX,RICARDO LEWANDOWSKI,ROSA WEBER,MARCO AURÉLIO,CELSO DE MELLO,TEORI ZAVASCKI,JOAQUIM BARBOSA,AYRES BRITTO,CEZAR PELUSO,ELLEN GRACIE,EROS GRAU,MENEZES DIREITO,SEPÚLVEDA PERTENCE
HC 215089 AgR,2022-06-06,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO, NOS TERMOS DO VOTO DO RELATOR, MINISTRO LUIZ FUX (PRESIDENTE). PLENÁRIO, SESSÃO VIRTUAL DE 27.5.2022 A 3.6.2022.",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 209608 ED-AgR-ED,2022-05-23,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, CONHECEU DOS EMBARGOS DE DECLARAÇÃO, MAS OS REJEITOU, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 13.5.2022 A 20.5.2022.",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 212882 AgR-ED,2022-05-16,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, REJEITOU OS EMBARGOS DE DECLARAÇÃO, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 6.5.2022 A 13.5.2022.",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 214006 AgR,2022-05-09,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, CONHECEU DO AGRAVO REGIMENTAL E NEGOU-LHE PROVIMENTO, NOS TERMOS DO VOTO DA RELATORA. IMPEDIDO O MINISTRO GILMAR MENDES. PLENÁRIO, SESSÃO VIRTUAL DE 29.4.2022 A 6.5.2022.",1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 208677 AgR-ED,2022-04-22,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AOS EMBARGOS DE DECLARAÇÃO, NOS TERMOS DO VOTO DO RELATOR, MINISTRO LUIZ FUX (PRESIDENTE). PLENÁRIO, SESSÃO VIRTUAL DE 8.4.2022 A 20.4.2022.",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 208147 AgR,2021-11-29,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO, NOS TERMOS DO VOTO DO RELATOR, MINISTRO LUIZ FUX (PRESIDENTE). PLENÁRIO, SESSÃO VIRTUAL DE 19.11.2021 A 26.11.2021.",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 208219 ED,2021-11-23,Sim,,10,0,ED,"O TRIBUNAL, POR UNANIMIDADE, CONVERTEU OS EMBARGOS DE DECLARAÇÃO EM AGRAVO REGIMENTAL E NEGOU-LHE PROVIMENTO, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 12.11.2021 A 22.11.2021.",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 203629 AgR-EDv,2021-11-16,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NÃO CONHECEU DOS EMBARGOS DE DIVERGÊNCIA, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 5.11.2021 A 12.11.2021.",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 205332 AgR,2021-11-11,Sim,,9,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR. IMPEDIDO O MINISTRO ALEXANDRE DE MORAES. PLENÁRIO, SESSÃO VIRTUAL DE 29.10.2021 A 10.11.2021.",1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 184434 AgR,2021-11-11,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 29.10.2021 A 10.11.2021.",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
